,,,A,C,D,E,F,H,I,M,Cluster,CON21,C. elegans,Fly/CON21,Fly,,Fly Gene Name,Fly Gene Description,DBD Family,Mosquito,Human,Mouse,Honeybee,Zebrafish,Silkworm
LOC124193105,XP_046442720.1,roundabout homolog 1-like,2,205,1104,1237,2401,624,572,110,,g7057,,FBgn0025878,,,wrapper,wrapper,,,,,,,
LOC124193106,XP_046442721.1,uncharacterized protein LOC124193106,17,12,28,9,26,7,7,89,,,,,,,,,,,,,,,
LOC124193107,XP_046442722.1,DNA-directed RNA polymerase III subunit RPC4-like,1585,2256,3875,1261,2205,645,1127,1364,,,,,FBpp0074902,FBgn0036775,RpIIIC53,RNA polymerase III subunit C53,,XP_001659518.1,ENSP00000380904.3,ENSMUSP00000137614.2,XP_006566065.1,,XP_004925782.1
LOC124193108,XP_046442724.1,erlin-1-like,793,2828,6781,2551,2402,724,925,791,,g7061,C42C1.15.1,FBgn0050424,,,CG30424,0,,,ENSP00000384900.3,ENSMUSP00000071618.7,XP_623822.2,ENSDARP00000140094.1,XP_021207399.2
LOC124193113,XP_046442727.1,QRFP-like peptide receptor isoform X2,0,0,2,42,177,88,68,5,,g7064,,,,,,,,,,,,,
LOC124193119,XP_046442730.1,leptin receptor gene-related protein-like isoform X1,402,1608,3051,1186,1392,574,685,492,,g1434,C30B5.2a.1,FBgn0050423,FBpp0312189,FBgn0050423,CG30423,0,,XP_021701636.1,ENSP00000428196.1,ENSMUSP00000033910.9,,ENSDARP00000140109.2,XP_037873568.1
LOC124193120,XP_046442733.1,nitric oxide synthase%2C salivary gland-like,2,4,9,36,108,340,226,115,,g7067,,FBgn0011676,,,Nos,Nitric oxide synthase,,,,,,,
LOC124193121,XP_046442734.1,uncharacterized protein LOC124193121,653,2185,6508,2409,3268,1289,983,830,,g7071,Y66D12A.1.1,FBgn0038854,FBpp0083437,FBgn0038854,CG7044,0,,XP_021713384.1,ENSP00000339637.4,ENSMUSP00000036016.7,XP_001122623.2,ENSDARP00000085122.3,XP_037872786.1
LOC124193122,XP_046442736.1,zinc finger CCCH domain-containing protein 18-like isoform X2,3423,9695,15206,4840,6278,1974,2377,2023,,g7069,,FBgn0051601,FBpp0300802,FBgn0051601,CG31601,0,,XP_021708724.1,ENSP00000455083.1,ENSMUSP00000090761.6,XP_393004.3,ENSDARP00000154825.1,XP_021207261.2
LOC124193123,XP_046442737.1,trehalase-like,0,0,5,3,237,131,39,115,,g7068,,FBgn0003748,,,Treh,Trehalase,,,,,,,
LOC124193124,XP_046442740.1,catalase-like,1374,4525,13507,9194,27421,9552,6455,6755,,g7070,,FBgn0000261,,,Cat,Catalase,,,,,,,
LOC124193125,XP_046442744.1,trypsin-1-like,0,0,6,69,202,11,16,4,,g1435,,FBgn0015316,,,Try29F,Trypsin 29F,,,,ENSMUSP00000065393.5,,,
LOC124193126,XP_046442742.1,uncharacterized protein C7orf26 homolog,297,890,1598,427,411,138,250,212,,g7072,,FBgn0036987,FBpp0077890,FBgn0036987,CG5274,0,,XP_001657683.2,ENSP00000340220.5,ENSMUSP00000041800.3,XP_392783.4,ENSDARP00000119765.1,XP_004924177.1
LOC124193127,XP_046442743.1,biorientation of chromosomes in cell division protein 1-like 1,1291,4300,6571,2077,3251,1036,1151,861,,g7073,R04E5.8a.1,FBgn0039560,FBpp0290366,FBgn0039560,BOD1,Biorientation Defective 1,,XP_001649413.2,ENSP00000425492.2,ENSMUSP00000144359.2,XP_016768580.2,ENSDARP00000138172.2,
LOC124193130,XP_046442746.1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9%2C mitochondrial-like,1358,5230,13701,8338,16826,4403,3292,2277,,g7077,Y53G8AL.2.1,FBgn0037001,FBpp0077859,FBgn0037001,ND-39,NADH dehydrogenase (ubiquinone) 39 kDa subunit,,XP_001660001.1,ENSP00000266544.5,ENSMUSP00000144904.2,XP_006558931.1,ENSDARP00000007735.8,XP_004927924.1
LOC124193131,XP_046442747.1,ADP-ribosylation factor-like protein 1,434,1217,3457,1451,1148,452,608,507,,g7078,F54C9.10.1,FBgn0000115,FBpp0075272,FBgn0000115,Arl1,ADP ribosylation factor-like 1,,XP_001648164.1,ENSP00000261636.8,ENSMUSP00000111942.3,XP_001120141.1,ENSDARP00000150582.1,XP_004927739.1
LOC124193134,XP_046442749.1,DNA-directed RNA polymerase III subunit RPC4-like isoform X2,1277,2394,4414,1601,2431,724,1045,1129,,g7060,,FBgn0036775,,,RpIIIC53,RNA polymerase III subunit C53,,,,,,,
LOC124193135,XP_046442771.1,asparagine synthetase domain-containing protein 1-like isoform X1,166,751,1536,530,635,352,411,195,,g1438,,FBgn0032997,FBpp0289202,FBgn0032997,CG17486,0,,XP_021708297.1,ENSP00000260952.4,ENSMUSP00000027264.4,XP_006558713.1,ENSDARP00000152243.1,XP_037877874.1
LOC124193139,XP_046442764.1,anaphase-promoting complex subunit 5-like,446,1009,1131,209,267,178,200,212,,g6200,,FBgn0041147,FBpp0073018,FBgn0041147,ida,imaginal discs arrested,,XP_021697300.1,ENSP00000261819.3,ENSMUSP00000083393.5,XP_006557486.2,ENSDARP00000132075.1,XP_004929282.3
LOC124193140,XP_046442765.1,uncharacterized protein LOC124193140,399,2620,5459,2026,2861,1338,1329,730,,,,,,,,,,,,,,,
LOC124193142,XP_046442767.1,transcription factor AP-2-epsilon-like isoform X1,1371,9984,21034,7207,7748,3437,4127,1599,,g7284,,FBgn0261953,,,TfAP-2,Transcription factor AP-2,,,,,,,
LOC124193144,XP_046442774.1,rab GTPase-activating protein 1-like isoform X1,1239,3993,9463,4204,5477,1851,1761,1472,,g6401,,FBgn0035879,,,GAPcenA,GTPase activating protein and centrosome-associated,,,,,,,
LOC124193145,XP_046442778.1,MFS-type transporter SLC18B1-like,163,36,280,229,580,86,104,155,,g6399,F55A4.8b.1,FBgn0260964,,,Vmat,Vesicular monoamine transporter,,XP_021706800.1,ENSP00000275227.4,ENSMUSP00000137431.2,XP_396217.2,ENSDARP00000064664.4,XP_012552770.1
LOC124193146,XP_046442779.1,probable chitinase 10,15,13,30,697,2349,1511,298,1049,,g6400,,FBgn0022700,,,Cht4,Chitinase 4,,,,,,,
LOC124193147,XP_046442781.1,uncharacterized protein LOC124193147,0,13,133,126,310,158,131,11,,g6402,,FBgn0265140,,,Meltrin,Meltrin,,,,,,,
LOC124193149,XP_046442783.1,inverted formin-2-like isoform X1,152,280,238,207,165,1101,1210,621,,g6413,,FBgn0053556,,,form3,formin 3,,,,,,,
LOC124193150,XP_046442785.1,probable inactive protein kinase DDB_G0270444,19,3518,31528,18343,44466,5872,7555,3455,,g6404,F19H8.2.2,FBgn0034294,,,Muc55B,Mucin 55B,,,,,,,
LOC124193151,XP_046442786.1,protein MLP1-like,781,11257,24584,5407,11926,3377,2922,1627,,g6406,,FBgn0284421,,,Psn,Presenilin,,,,,XP_016767833.1,,
LOC124193152,XP_046442787.1,coiled-coil domain-containing protein 22 homolog,299,687,1908,676,954,345,243,262,,g6412,R08E3.3a.1,FBgn0036671,FBpp0075096,FBgn0036671,CG9951,0,,XP_021708649.1,ENSP00000365401.3,ENSMUSP00000033483.5,XP_395711.5,ENSDARP00000090542.4,
LOC124193153,XP_046442791.1,potassium channel subfamily K member 10-like,2,0,10,21,203,135,183,98,,g1436,,FBgn0017561,,,Ork1,Open rectifier K[+] channel 1,,,,,,,
LOC124193155,XP_046442790.1,carbonyl reductase [NADPH] 1-like,451,1844,6542,3273,5286,3094,1630,1757,,g6416,,FBgn0034500,,,CG11200,Carbonyl reductase,,,ENSP00000290354.5,ENSMUSP00000047712.7,XP_006564533.2,ENSDARP00000024104.8,XP_004926634.1
LOC124193156,XP_046442792.1,dTTP/UTP pyrophosphatase-like,98,432,887,323,325,190,176,183,,g6414,C54G4.6.1,FBgn0032077,FBpp0079391,FBgn0032077,CG9515,0,,XP_001660411.1,ENSP00000370718.3,,XP_026294697.1,ENSDARP00000007743.6,XP_012545560.1
LOC124193157,XP_046442793.1,trafficking protein particle complex subunit 2-like,136,476,1495,462,598,166,184,194,,g6415,W05H7.3.1,FBgn0266724,FBpp0075246,FBgn0266724,Trs20,TRAPP subunit 20,,XP_021708394.1,ENSP00000507474.1,ENSMUSP00000107813.2,XP_026296989.1,ENSDARP00000137076.1,XP_012545519.1
LOC124193158,XP_046442794.1,TBC domain-containing protein kinase-like protein,559,1997,5022,2383,3560,1541,1457,1096,,g6420,C33F10.2.1,FBgn0029736,FBpp0290220,FBgn0029736,CG4041,0,,XP_001650881.2,ENSP00000273980.4,ENSMUSP00000129205.2,XP_393033.4,ENSDARP00000143948.1,XP_004927963.1
LOC124193159,XP_046442797.1,calnexin-like isoform X2,4080,13533,44475,20396,15018,3986,8374,6819,,g6418,,FBgn0015622,,,Cnx99A,Calnexin 99A,,,,,,,
LOC124193160,XP_046442799.1,cingulin-like,42,967,1817,183,85,56,62,61,,g6419,,FBgn0050110,,,CG30110,0,,,ENSP00000317144.6,ENSMUSP00000022650.8,,ENSDARP00000016113.7,
LOC124193161,XP_046443158.1,zinc metalloproteinase nas-4-like,39,265,441,24,30,11,9,56,,,,,,,,,,,,,,,
LOC124193162,XP_046443115.1,alpha-(1%2C3)-fucosyltransferase C-like isoform X3,18,55,47,102,19,90,98,55,,g1035,,FBgn0044872,,,FucTC,"alpha1,3-fucosyltransferase C",,,,ENSMUSP00000039985.6,XP_006571382.1,,XP_037871234.1
LOC124193163,XP_046442803.1,uncharacterized protein LOC124193163 isoform X1,1737,239,444,190,375,188,212,1880,,g1437,,FBgn0032444,,,CCT4,Chaperonin containing TCP1 subunit 4,,,,ENSMUSP00000019955.10,,,
LOC124193164,XP_046442800.1,lysosomal Pro-X carboxypeptidase-like,391,1227,3683,1696,2677,1443,859,2449,,g6421,ZK688.6.2,FBgn0032864,FBpp0080895,FBgn0032864,CG2493,0,,XP_001651053.1,ENSP00000317362.3,ENSMUSP00000075429.7,XP_623670.3,ENSDARP00000077802.3,XP_004926267.1
LOC124193165,XP_046442801.1,nischarin-like isoform X1,58,280,818,275,377,208,168,156,,g6422,,FBgn0033996,,,CG11807,0,,,,,,,
LOC124193166,XP_046442804.1,lipoyl synthase%2C mitochondrial-like,216,1180,3148,1957,3589,1684,1185,692,,g6417,M01F1.3.2,FBgn0029158,FBpp0288705,FBgn0029158,Las,Lipoic acid synthase,,XP_001659989.1,ENSP00000492260.1,ENSMUSP00000113228.3,XP_016771940.1,ENSDARP00000153334.1,XP_004927741.2
LOC124193168,XP_046442805.1,uncharacterized protein LOC124193168,1,0,143,357,1050,412,355,49,,g6423,,FBgn0261836,,,Msp300,Muscle-specific protein 300 kDa,,,,,,,
LOC124193169,XP_046442806.1,mucin-12-like,4433,8710,10669,3370,3995,2076,2053,2738,,,,,,,,,,,,,,,
LOC124193170,XP_046442807.1,uncharacterized protein LOC124193170,319,954,1888,641,914,890,504,370,,g6425,,FBgn0033636,,,tou,toutatis,,,ENSP00000327504.5,ENSMUSP00000062433.7,,ENSDARP00000111696.3,XP_021205250.2
LOC124193171,XP_046442808.1,probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1%2C3-glucosyltransferase,110,448,1539,746,651,246,196,243,,g6424,C08H9.3a.1,FBgn0029906,FBpp0070931,FBgn0029906,xit,xiantuan,,XP_001662923.2,ENSP00000299626.5,ENSMUSP00000095901.5,XP_624229.2,ENSDARP00000131082.2,XP_004927866.1
LOC124193173,XP_046442810.1,transcriptional regulator ATRX homolog isoform X1,8997,23608,34150,12390,15958,5616,7567,5500,,g6427,,FBgn0039338,,,XNP,XNP,,,,,,,
LOC124193174,XP_046442813.1,titin-like,99,10527,54191,10135,147458,8105,12080,7552,,g6430,,FBgn0030539,,,CG1368,0,,,,,,,
LOC124193175,XP_046442814.1,TBC1 domain family member 19-like,0,2,168,95,234,44,63,8,,g6429,,FBgn0031690,FBpp0078725,FBgn0031690,CG7742,0,,XP_001653336.1,ENSP00000264866.4,ENSMUSP00000040585.7,XP_016768600.1,ENSDARP00000006223.4,XP_012547190.1
LOC124193176,XP_046442817.1,protein turtle-like isoform X3,910,7630,18605,9887,14335,3851,3984,994,,g7127,,FBgn0010473,,,tutl,turtle,,,,,,,
LOC124193177,XP_046442868.1,GTP-binding protein 1-like isoform X3,2998,7684,16618,4941,6557,2551,2260,2238,,g1444,,FBgn0027836,,,Dgp-1,Dgp-1,,,,,,ENSDARP00000113119.1,
LOC124193178,XP_046442825.1,pre-mRNA-splicing regulator WTAP-like isoform X2,1048,2447,4613,1221,1172,551,629,917,,g7129,,FBgn0000662,FBpp0086774,FBgn0000662,fl(2)d,female lethal d,,XP_021709658.1,ENSP00000479438.1,ENSMUSP00000007007.8,XP_006566329.1,ENSDARP00000062551.4,XP_004931734.1
LOC124193179,XP_046442826.1,uncharacterized protein LOC124193179,1268,2707,4595,1138,1284,624,781,1039,,g7128,,FBgn0040038,,,klhl10,kelch like family member 10,,,,,,ENSDARP00000097767.2,
LOC124193180,XP_046442828.1,uncharacterized protein LOC124193180 isoform X1,281,1137,4684,4555,6890,2351,3149,986,,g6930,,FBgn0261859,,,CG42788,0,,,,,,,
LOC124193181,XP_046442835.1,uncharacterized protein LOC124193181,677,2077,3219,1392,2408,1109,1187,1028,,,,,,,,,,,,,,,
LOC124193183,XP_046442837.1,uncharacterized protein KIAA2013 homolog,433,1963,5901,2384,1753,1048,1249,694,,g6319,C17H12.2.2,FBgn0031379,FBpp0077491,FBgn0031379,CG7289,0,,XP_001655157.2,ENSP00000480577.1,ENSMUSP00000099522.2,XP_395752.2,ENSDARP00000117599.1,XP_004928965.1
LOC124193184,XP_046442838.1,uncharacterized protein LOC124193184,0,4,273,365,1291,509,408,160,,g6318,,FBgn0031652,,,jet,jetlag,,,,,,,
LOC124193185,XP_046442840.1,uncharacterized protein LOC124193185 isoform X2,1144,4739,9242,3277,4667,1528,1584,1073,,g7526,,FBgn0033122,FBpp0292317,FBgn0033122,CG17002,0,,XP_021698467.1,ENSP00000460836.1,ENSMUSP00000112062.2,,ENSDARP00000151830.1,XP_037874985.1
LOC124193186,XP_046442843.1,elongation factor 1-gamma-like,17409,53280,118830,37727,41240,16218,16641,21942,,g7527,F17C11.9a.1,FBgn0029176,FBpp0084762,FBgn0029176,eEF1gamma,eukaryotic translation elongation factor 1 gamma,,XP_001661570.1,ENSP00000331901.4,ENSMUSP00000093955.5,XP_016770294.1,ENSDARP00000072983.4,XP_021204931.1
LOC124193187,XP_046442844.1,intraflagellar transport protein 46 homolog isoform X1,5,31,549,222,429,149,170,19,,g7525,,FBgn0032692,FBpp0080628,FBgn0032692,IFT46,Intraflagellar transport 46,,,ENSP00000432384.1,,,,
LOC124193190,XP_046442848.1,uncharacterized protein LOC124193190,928,2420,4983,1652,2017,948,982,858,,g6640,,FBgn0028370,FBpp0085182,FBgn0039862,kek3,kekkon 3,,XP_021700792.1,,,XP_026297160.1,ENSDARP00000132505.1,XP_037871307.1
LOC124193191,XP_046442852.1,PDZ domain-containing protein 8-like isoform X1,37,140,545,57,522,21,44,53,,g6641,,FBgn0030358,,,CG10362,0,,,,,XP_026295636.1,,
LOC124193192,XP_046442854.1,solute carrier family 13 member 5-like,10,35,103,23,114,73,78,36,,g6642,F31F6.6.1,FBgn0036816,FBpp0291071,FBgn0036816,Indy,I'm not dead yet,,,,ENSMUSP00000029208.9,XP_026298009.1,ENSDARP00000070437.4,
LOC124193193,XP_046442855.1,tyrocidine synthase 3-like,1,1,301,1279,3368,1882,1339,104,,g6381,,FBgn0000527,FBpp0083505,FBgn0000527,e,ebony,,XP_021712848.1,,,XP_026301707.1,,XP_037876454.1
LOC124193194,XP_046442856.1,dimodular nonribosomal peptide synthase-like isoform X1,1,0,169,1622,3645,3453,2291,746,,g6380,,FBgn0000527,,,e,ebony,,,,,,,
LOC124193195,XP_046442859.1,negative elongation factor A-like,699,2487,4183,1587,2498,1066,977,731,,g6382,,FBgn0038872,FBpp0308329,FBgn0038872,Nelf-A,Negative elongation factor A,,XP_021712857.1,ENSP00000372335.4,ENSMUSP00000030993.7,XP_392087.3,ENSDARP00000130626.1,XP_012546957.1
LOC124193196,XP_046442860.1,myophilin-like,175,1039,6560,3618,18047,2371,2328,1587,,g6879,D1069.2a.1,FBgn0035499,,,Chd64,Chd64,,,ENSP00000357075.1,ENSMUSP00000106859.2,,ENSDARP00000130582.2,
LOC124193197,XP_046442861.1,adrenodoxin-like protein 1%2C mitochondrial,108,591,1048,345,529,178,236,100,,g6878,Y73F8A.27.1,FBgn0011769,FBpp0076226,FBgn0011769,Fdx1,Ferredoxin 1,,XP_001657805.2,ENSP00000377311.5,ENSMUSP00000010348.6,XP_624487.1,ENSDARP00000131094.2,XP_004923735.1
LOC124193198,XP_046442865.1,protein SSUH2 homolog isoform X2,406,1472,3511,2055,3270,1068,1053,490,,g6880,,FBgn0025836,,,RhoGAP1A,Rho GTPase activating protein at 1A,,,,,,,
LOC124193199,XP_046442870.1,aminopeptidase N-like,10,3,136,3227,3937,1877,340,1354,,g6188,,FBgn0039640,,,CG14516,0,,,,,,,
LOC124193200,XP_046442871.1,aminopeptidase N-like,4,1,8,474,2174,798,143,914,,g6187,,FBgn0263236,,,SP1029,SP1029,,,,,,,
LOC124193202,XP_046442872.1,uncharacterized protein LOC124193202,8,6,38,44,91,29,31,42,,,,,,,,,,,,,,,
LOC124193204,XP_046442873.1,serine/threonine-protein kinase D1-like,1280,4264,10195,6419,10895,4612,4767,2471,,g6937,T25E12.4e.1,FBgn0038603,FBpp0303344,FBgn0038603,PKD,Protein Kinase D,,XP_001662673.2,ENSP00000234179.2,ENSMUSP00000113395.2,XP_396063.4,ENSDARP00000147424.1,XP_037876164.1
LOC124193205,XP_046442877.1,E3 ubiquitin-protein ligase arih1l-like,1300,3677,7918,3338,5050,1939,1871,1876,,,,,,,,,,,,,,,
LOC124193206,XP_046442874.1,pickpocket protein 28-like,39,357,1052,725,1515,472,442,328,,g6935,,FBgn0052792,,,ppk8,pickpocket 8,,,,,,,
LOC124193207,XP_046442875.1,exosome complex component RRP46-like,383,925,1538,350,415,150,213,335,,g6938,C14A4.5.1,FBgn0037815,FBpp0081725,FBgn0037815,Rrp46,Rrp46,,XP_001658056.1,ENSP00000221233.3,ENSMUSP00000145948.2,XP_006564800.1,ENSDARP00000146753.1,XP_021203378.1
LOC124193208,XP_046442876.1,uncharacterized protein LOC124193208,17,10,48,3702,18561,1444,312,1067,,g6128,,FBgn0259244,,,CG42342,0,,,,,,,
LOC124193209,XP_046442878.1,uncharacterized protein LOC124193209,48,99,386,137,1540,145,173,141,,g6130,,FBgn0037934,,,CG6830,0,,,,,,,
LOC124193210,XP_046442880.1,uncharacterized protein LOC124193210,1,0,45,354,393,31,15,34,,,,,,,,,,,,,,,
LOC124193211,XP_046442882.1,vacuolar protein sorting-associated protein 33A-like,303,1358,2856,1096,1707,1002,635,465,,,,,,,,,,,,,,,
LOC124193213,XP_046442883.1,band 4.1-like protein 5,2390,7200,16728,6334,8284,3140,3369,3093,,g7518,T04C9.6a.4,FBgn0004049,FBpp0082261,FBgn0004049,yrt,yurt,,XP_021694131.1,ENSP00000390439.1,ENSMUSP00000128374.2,XP_623974.3,ENSDARP00000119020.1,XP_004931877.1
LOC124193214,XP_046442884.1,uncharacterized protein LOC124193214 isoform X1,1052,2265,4806,1875,3072,1263,1084,1254,,g7519,,FBgn0250789,,,alpha-Spec,alpha Spectrin,,XP_021696131.1,ENSP00000513762.1,,,,
LOC124193215,XP_046442887.1,translational regulator orb2-like isoform X1,232,1074,6745,7958,10044,3505,4220,2250,,g6905,C40H1.1.1,FBgn0264307,FBpp0303901,FBgn0264307,orb2,orb2,,,,ENSMUSP00000115656.2,,,
LOC124193216,XP_046442889.1,transmembrane emp24 domain-containing protein eca-like,1473,5614,14410,6396,4910,1565,2296,1415,,g6904,Y60A3A.9.1,FBgn0069242,FBpp0081576,FBgn0069242,eca,eclair,,XP_001656404.1,ENSP00000330945.6,ENSMUSP00000105531.4,XP_396009.2,ENSDARP00000004205.5,NP_001040538.1
LOC124193217,XP_046442890.1,CLIP-associating protein 1-like isoform X1,4922,11894,23004,10133,16713,6707,6141,4953,,g7564,C07H6.3.1,FBgn0021760,,,chb,chromosome bows,,XP_021695277.1,ENSP00000515167.1,ENSMUSP00000128089.3,XP_016771684.2,,XP_037873142.1
LOC124193220,XP_046442895.1,uncharacterized protein LOC124193220 isoform X3,40,279,189,48,84,54,48,30,,g4635,,,,,,,,,,,,,
LOC124193223,XP_046442898.1,peroxiredoxin-4-like,1296,6057,12718,5712,6421,2873,2634,2405,,,,,FBpp0072853,FBgn0040308,Jafrac2,Thioredoxin peroxidase 2,,XP_021696772.1,ENSP00000368646.4,ENSMUSP00000026328.5,,ENSDARP00000090833.4,NP_001296495.1
LOC124193224,XP_046442902.1,histone H3.3A,4030,18614,32058,10351,15472,3962,4006,2539,,g1440,F45E1.6.1,FBgn0004828,FBpp0078649,FBgn0014857,His3.3B,Histone H3.3B,,XP_001657554.1,ENSP00000355778.1,ENSMUSP00000125104.2,XP_624499.1,ENSDARP00000157380.1,NP_001091756.1
LOC124193225,XP_046442899.1,probable RNA-binding protein EIF1AD,400,1436,2879,595,477,271,491,388,,g7350,ZK856.11.1,FBgn0051957,FBpp0077203,FBgn0051957,CG31957,0,,XP_001656498.1,ENSP00000435439.1,ENSMUSP00000025759.8,XP_001120246.1,ENSDARP00000151078.1,NP_001040352.1
LOC124193226,XP_046442900.1,protein angel homolog 2-like,650,1178,3055,1395,4163,1006,1046,1118,,g7351,W02G9.5c.1,FBgn0016762,FBpp0071992,FBgn0016762,angel,angel,,XP_021709489.1,ENSP00000355929.3,ENSMUSP00000106524.2,XP_006560673.1,ENSDARP00000033311.6,XP_037868709.1
LOC124193227,XP_046442901.1,uncharacterized protein LOC124193227,52,71,54,18,19,9,8,37,,g7352,C08F1.3.1,,,,,,,,ENSP00000493881.1,,,,
LOC124193228,XP_046442912.1,hemicentin-1-like isoform X9,48,2813,6134,3467,8438,2304,2292,825,,g7355,,FBgn0262509,FBpp0293370,FBgn0262509,nrm,neuromusculin,,,,,,,
LOC124193229,XP_046442916.1,mediator of RNA polymerase II transcription subunit 9-like,188,934,2560,1037,1310,708,441,249,,g1443,,FBgn0260401,FBpp0289888,FBgn0260401,MED9,Mediator complex subunit 9,,XP_021699913.1,ENSP00000268711.3,ENSMUSP00000080641.7,XP_624543.3,ENSDARP00000126587.1,XP_004921602.1
LOC124193230,XP_046442913.1,mediator of RNA polymerase II transcription subunit 17-like,1410,3852,7637,2358,2435,929,956,1065,,g7359,Y113G7B.18a.2,FBgn0038578,FBpp0082980,FBgn0038578,MED17,Mediator complex subunit 17,,XP_001654224.2,ENSP00000251871.3,ENSMUSP00000034411.9,XP_394516.2,ENSDARP00000023604.7,XP_004926798.1
LOC124193231,XP_046442915.1,E3 ubiquitin-protein ligase TRAIP-like isoform X2,977,2733,3656,702,762,480,416,615,,g7360,,FBgn0034314,,,nopo,no poles,,,,,,,
LOC124193232,XP_046442917.1,sodium channel and clathrin linker 1-like,2,23,92,46,98,19,30,15,,g7358,F29G6.2.1,,FBpp0082802,FBgn0038452,CG14905,0,,XP_001655783.1,ENSP00000501363.1,ENSMUSP00000147338.3,XP_394326.4,ENSDARP00000013307.6,XP_004922782.1
LOC124193233,XP_046442918.1,uncharacterized protein LOC124193233,1,263,1139,888,2504,597,738,592,,g7357,,FBgn0034788,FBpp0071810,FBgn0034788,CG13532,0,,XP_021705164.1,,,XP_026295994.1,,
LOC124193236,XP_046442920.1,endocuticle structural glycoprotein ABD-4-like,1,0,2,8,5,6,1,4,,g6826,,,,,,,,,,,,,
LOC124193237,XP_046442922.1,F-box only protein 21-like,424,151,242,84,184,71,25,525,,,,,,,,,,,,,,,
LOC124193239,XP_046442924.1,cytoplasmic dynein 2 heavy chain 1-like isoform X1,146,246,2261,762,1523,662,846,565,,g1445,F18C12.1.1,FBgn0023096,FBpp0271926,FBgn0023096,btv,beethoven,,XP_021709178.1,ENSP00000364887.2,ENSMUSP00000046733.7,,ENSDARP00000152917.1,XP_037870706.1
LOC124193242,XP_046442923.1,tyrosine-protein phosphatase 69D-like,2672,16962,28847,8268,9553,5046,6280,3291,,g7396,,FBgn0014007,,,Ptp69D,Protein tyrosine phosphatase 69D,,,,,,,
LOC124193243,XP_046442929.1,trifunctional enzyme subunit alpha%2C mitochondrial-like,4217,12998,35292,18068,22328,3817,5045,4281,,g7398,T08B2.7b.3,FBgn0028479,FBpp0079454,FBgn0028479,Mtpalpha,Mitochondrial trifunctional protein alpha subunit,,XP_001654258.2,ENSP00000370023.3,ENSMUSP00000120976.2,XP_393806.2,ENSDARP00000070488.4,NP_001040132.1
LOC124193244,XP_046442930.1,NADH dehydrogenase [ubiquinone] iron-sulfur protein 3%2C mitochondrial-like,1325,3502,10433,7468,16675,4779,3510,2471,,g7394,T10E9.7.1,FBgn0266582,FBpp0072975,FBgn0266582,ND-30,NADH dehydrogenase (ubiquinone) 30 kDa subunit,,XP_021697980.1,ENSP00000263774.4,ENSMUSP00000005647.4,XP_394885.1,ENSDARP00000013902.4,XP_004933701.1
LOC124193245,XP_046442931.1,uncharacterized protein LOC124193245,9,36,42,7,9,0,0,4,,,,,,,,,,,ENSP00000463293.1,,,,
LOC124193247,XP_046442933.1,uncharacterized protein LOC124193247,9,2,7,2,12,4,5,129,,,,,,,,,,,,,,,
LOC124193248,XP_046442934.1,uncharacterized protein LOC124193248 isoform X1,147,2345,5200,2425,4826,2055,1597,1794,,g6304,F59C12.3.1,FBgn0025726,,,unc-13,unc-13,,XP_021696789.1,ENSP00000387739.2,ENSMUSP00000152834.2,,ENSDARP00000118215.2,
LOC124193249,XP_046442936.1,UV radiation resistance-associated protein-like,1323,1779,4487,1726,2276,981,1215,1348,,g6305,Y34B4A.2.1,FBgn0035845,FBpp0306888,FBgn0032499,CG13675,0,,XP_001659882.2,ENSP00000348455.3,ENSMUSP00000045297.9,XP_003249446.3,ENSDARP00000111856.1,XP_004924908.2
LOC124193250,XP_046442937.1,tRNA (cytosine(34)-C(5))-methyltransferase-like,2977,7699,9703,1958,2198,1290,2803,2600,,g7321,Y48G8AL.5a.1,FBgn0026079,FBpp0070637,FBgn0026079,Nsun2,"NOP2-Sun domain family, member 2",,XP_001664204.1,ENSP00000264670.6,ENSMUSP00000105321.5,XP_016767161.1,ENSDARP00000118997.1,XP_004922531.1
LOC124193251,XP_046442938.1,carboxypeptidase Q-like,1227,3027,5736,1724,1795,1089,1043,804,,g7319,,FBgn0004646,,,ogre,optic ganglion reduced,,XP_001661833.2,ENSP00000220763.5,ENSMUSP00000154400.2,XP_393631.3,,XP_004927967.1
LOC124193252,XP_046442939.1,bax inhibitor 1-like,372,2917,10477,4997,5665,2001,1492,1334,,g7320,,FBgn0035871,,,BI-1,Bax Inhibitor-1,,,,,,,
LOC124193253,XP_046442944.1,pro-resilin-like,0,0,25,28,3683,456,383,1076,,g1446,,FBgn0033869,,,Cpr50Cb,Cuticular protein 50Cb,,,,,,,
LOC124193255,XP_046442943.1,guanine nucleotide-binding protein G(i) subunit alpha,3127,8781,11415,3209,3255,1574,2020,1910,,g6881,,FBgn0001104,FBpp0076643,FBgn0001104,Galphai,G protein alpha i subunit,,XP_021697407.1,ENSP00000497260.1,ENSMUSP00000074259.6,XP_395172.2,ENSDARP00000037326.5,
LOC124193256,XP_046442945.1,ecdysteroid-regulated 16 kDa protein-like,626,3688,4765,3119,9638,5554,2825,8155,,g6882,,FBgn0039801,FBpp0085084,FBgn0039801,Npc2h,Niemann-Pick type C-2h,,XP_001648436.1,,,XP_392711.4,,NP_001037199.1
