Consensus Name,KAP4 Locus,KAP4 Description,A,C,D,E,F,H,I,M,CON21 Gene #,A,B,C,D,E,F,G,H,I,Fly Gene #,Fly Gene,Fly Description,TF family
Dpul_Gene_2020,LOC124192380,nudC domain-containing protein 3-like isoform X2,463,1193,2793,998,1542,698,575,734,g7096,925,301,327,242,362,307,387,315,350,FBgn0051251,CG31251,0,
Dpul_Gene_2021,LOC124192382,mediator of RNA polymerase II transcription subunit 1-like isoform X2,2345,8312,15336,5654,7228,2337,2492,1654,g6638,1560,2250,1749,884,838,626,1604,1594,1146,FBgn0037109,MED1,Mediator complex subunit 1,
Dpul_Gene_2022,LOC124192383,PDZ domain-containing protein 8-like isoform X1,292,1771,4622,2067,4405,1413,1773,1008,g6636,101,340,355,357,343,249,1352,1254,991,FBgn0030358,CG10362,0,
Dpul_Gene_2023,LOC124192384,uncharacterized protein LOC124192384,80,62,100,45,105,56,14,119,g470,141,50,26,10,8,30,51,71,152,FBgn0036096,CG8003,0,
Dpul_Gene_2024,LOC124192386,DNA mismatch repair protein Mlh1-like,674,1846,1388,168,223,144,179,287,g6637,1175,713,589,137,61,37,149,193,158,FBgn0011659,Mlh1,Mlh1,
Dpul_Gene_2025,LOC124192387,leukotriene A-4 hydrolase-like isoform X1,1999,3885,9759,4958,4706,1445,1699,1863,g6632,4328,2407,2047,1108,1039,1054,1181,1566,1227,FBgn0032721,CG10602,0,
Dpul_Gene_2026,LOC124192388,uncharacterized protein LOC124192388,1,1,246,384,3105,178,300,120,g6635,1,0,1,20,25,217,126,164,368,FBgn0036481,CG16959,0,
Dpul_Gene_2027,LOC124192389,carboxypeptidase M-like,593,4391,9273,2024,6357,1137,1290,792,g6634,901,1241,2169,1558,614,2043,1301,1097,941,FBgn0030778,CG4678,0,
Dpul_Gene_2028,LOC124192390,short coiled-coil protein B-like isoform X2,117,299,1308,694,958,242,204,179,g6633,461,434,483,434,629,504,183,167,107,FBgn0039505,CG5934,0,
Dpul_Gene_2029,LOC124192393,chitin synthase chs-2-like isoform X1,2448,7701,22055,15548,95710,10604,11177,10443,g6324,11398,9210,7148,3699,2913,7337,10983,20526,14659,FBgn0262743,Fs(2)Ket,Female sterile (2) Ketel,
Dpul_Gene_2030,LOC124192395,importin subunit beta-1-like,7158,16265,19736,5305,6825,3594,8243,7473,g6324,11398,9210,7148,3699,2913,7337,10983,20526,14659,FBgn0262743,Fs(2)Ket,Female sterile (2) Ketel,
Dpul_Gene_2031,LOC124192396,transitional endoplasmic reticulum ATPase-like isoform X2,94,50,147,81,182,42,11,160,g6323,483,33,19,17,10,18,11,17,51,FBgn0029822,CG12236,0,zf-C2H2
Dpul_Gene_2032,LOC124192399,uncharacterized protein LOC124192399 isoform X3,3273,15109,22379,6194,7801,4373,3762,3052,g6281,1666,3172,2627,1205,897,587,2866,2267,1905,FBgn0031023,CG14200,0,
Dpul_Gene_2033,LOC124192400,katanin p80 WD40 repeat-containing subunit B1-like isoform X2,2101,4900,9297,4661,9179,2368,2817,2353,g6279,1944,1256,1057,769,790,716,2632,2792,2111,FBgn0040207,kat80,katanin 80,
Dpul_Gene_2034,LOC124192402,purine nucleoside phosphorylase-like isoform X3,1013,1159,1231,1818,5359,3744,3109,2186,g6277,827,458,472,338,805,1639,5883,3394,1556,FBgn0035348,CG16758,0,
Dpul_Gene_2035,LOC124192403,uncharacterized protein LOC124192403,108,407,1382,429,518,274,230,134,g6278,518,673,771,695,520,565,343,360,242,FBgn0030704,CG15916,0,
Dpul_Gene_2036,LOC124192404,Fanconi anemia core complex-associated protein 24-like,99,133,183,65,59,40,21,69,g6276,348,115,94,43,31,23,29,18,42,FBgn0027582,CG6230,0,
Dpul_Gene_2037,LOC124192405,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9-like,509,1364,4823,3061,6069,1627,1270,797,g6280,1719,1204,1216,1217,1474,2517,1348,1255,759,FBgn0032511,ND-B22,NADH dehydrogenase (ubiquinone) B22 subunit,
Dpul_Gene_2038,LOC124192407,aminopeptidase Ey-like,60,4,167,610,700,192,155,220,g6379,26,4,6,22,51,167,436,208,244,FBgn0039640,CG14516,0,
Dpul_Gene_2039,LOC124192408,probable E3 ubiquitin-protein ligase HECTD2 isoform X4,138,573,839,361,744,229,280,158,g6372,4,3,3,82,169,90,314,208,156,FBgn0035207,Herc4,HECT and RLD domain containing E3 ubiquitin ligase 4,
Dpul_Gene_2040,LOC124192410,mini-chromosome maintenance complex-binding protein-like,1529,6500,6328,1200,1203,620,939,864,g6375,9097,8282,6388,1920,926,538,943,1747,773,FBgn0031875,CG3430,0,
Dpul_Gene_2041,LOC124192411,cell growth-regulating nucleolar protein-like,1117,2482,5048,1285,1622,570,1044,840,g6374,1413,1124,759,270,141,136,363,537,314,FBgn0039183,Dis3,Dis3,
Dpul_Gene_2042,LOC124192412,bestrophin-1-like,0,60,372,510,1274,752,585,323,g6378,0,1,1,27,104,133,522,269,336,FBgn0036491,Best4,Bestrophin 4,
Dpul_Gene_2043,LOC124192413,tumor suppressor candidate 3-like,1021,4387,11792,5584,3361,1277,2034,1594,g6376,1728,3454,3528,3070,3772,1469,901,1882,827,FBgn0032015,Ostgamma,Oligosaccharide transferase gamma subunit,
Dpul_Gene_2044,LOC124192414,uncharacterized protein LOC124192414 isoform X3,3031,9162,16070,6795,12163,4101,4309,3476,g955,1530,2303,1879,988,870,1128,3745,3635,3237,FBgn0051716,Cnot4,CCR4-NOT transcription complex subunit 4,
Dpul_Gene_2045,LOC124192416,uncharacterized protein LOC124192416,13,133,623,993,2424,1106,662,387,g6377,6,8,10,41,184,591,2306,1259,1182,FBgn0259179,CG42284,0,
Dpul_Gene_2046,LOC124192417,striatin-like isoform X1,2733,11895,22992,9879,14898,5179,5904,3767,g6946,1840,2548,1835,1028,978,1105,7101,5937,4127,FBgn0044323,Cka,Connector of kinase to AP-1,
Dpul_Gene_2047,LOC124192418,serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform-like isoform X2,1754,7992,16113,8115,13696,3846,4536,2481,g6944,1105,1477,1197,685,531,881,4987,4267,2612,FBgn0027492,wdb,widerborst,
Dpul_Gene_2048,LOC124192419,protein cornichon homolog 4-like,172,467,1356,391,366,137,149,205,g6945,615,489,497,308,199,103,115,124,69,FBgn0243513,cnir,cornichon related,
Dpul_Gene_2049,LOC124192421,barrier-to-autointegration factor-like,1062,3525,4211,1159,1279,463,608,806,g6947,2783,4133,3610,1212,782,467,251,482,252,FBgn0031977,baf,barrier to autointegration factor,
Dpul_Gene_2050,LOC124192422,acid sphingomyelinase-like phosphodiesterase 3b,2121,4941,7537,2499,2655,913,1074,1642,g7200,2005,2960,2199,997,728,683,779,960,702,FBgn0044328,CG32052,0,
Dpul_Gene_2051,LOC124192423,uncharacterized protein LOC124192423,375,1834,6677,4353,7616,3501,3643,1877,g7201,430,581,584,553,916,991,4377,3321,2262,FBgn0259143,CG42258,0,
Dpul_Gene_2052,LOC124192424,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,686,1706,2791,832,899,566,719,534,g7199,670,577,454,180,105,93,287,385,187,FBgn0030554,CG1434,0,
Dpul_Gene_2053,LOC124192425,forkhead box protein L1-like,5,140,172,47,129,28,9,22,g7198,0,19,32,22,12,21,21,35,72,FBgn0014143,croc,crocodile,Fork_head
Dpul_Gene_2054,LOC124192428,uncharacterized protein LOC124192428,419,945,2031,802,1239,397,370,549,g7215,714,349,329,166,170,156,259,226,160,,,,
Dpul_Gene_2055,LOC124192429,VWFA and cache domain-containing protein 1-like,4290,11551,15007,4552,5640,2111,2299,1698,g6877,2561,3158,2404,970,707,479,2469,1867,1235,FBgn0034498,CG16868,0,
Dpul_Gene_2056,LOC124192430,indole-3-acetaldehyde oxidase-like isoform X2,52,313,607,480,1039,520,398,659,g6875,11,75,81,38,56,187,344,226,395,FBgn0038349,AOX3,Aldehyde oxidase 3,
Dpul_Gene_2057,LOC124192431,probable aldehyde oxidase 2,364,1590,3379,2151,3830,3443,3149,2456,g6876,246,522,590,399,453,625,2791,2392,1989,,,,
Dpul_Gene_2058,LOC124192432,T-box-containing protein TBX6L-like,1282,4113,1986,105,138,38,34,15,g958,653,1519,1070,126,51,11,38,19,6,FBgn0028789,Doc1,Dorsocross1,T-box
Dpul_Gene_2059,LOC124192433,probable glutamate--tRNA ligase%2C mitochondrial,299,785,1780,738,1062,506,344,279,g6874,177,277,267,113,97,117,194,211,152,FBgn0036629,GluRS-m,"Glutamyl-tRNA synthetase, mitochondrial",
Dpul_Gene_2060,LOC124192434,cholesterol 7-desaturase nvd-like,17,132,410,789,6158,366,191,187,g6872,11,14,13,36,56,190,61,67,98,FBgn0287185,nvd,neverland,
Dpul_Gene_2061,LOC124192435,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7-like,439,2174,6291,3838,8789,1989,1555,1086,g6873,947,1178,1274,1205,1553,2520,1540,1170,772,FBgn0030605,ND-B18,NADH dehydrogenase (ubiquinone) B18 subunit,
Dpul_Gene_2062,LOC124192437,pleckstrin homology domain-containing family H member 2-like isoform X1,1985,10345,22959,7675,14542,3746,4311,1602,g6572,731,1653,1477,1324,1055,1104,8801,5790,3737,FBgn0264449,CG43867,0,
Dpul_Gene_2063,LOC124192438,nucleoredoxin-like protein 2,265,1633,5302,2516,2876,810,815,514,g956,535,962,1101,1139,1302,1046,711,744,523,FBgn0029752,TrxT,Thioredoxin T,
Dpul_Gene_2064,LOC124192439,phosphopantothenoylcysteine decarboxylase-like,221,901,2042,1017,1162,335,333,286,g6573,524,1060,1019,664,633,570,302,449,331,FBgn0050290,Ppcdc,Phosphopantothenoylcysteine decarboxylase,
Dpul_Gene_2065,LOC124192440,endonuclease III-like protein 1,100,214,270,45,50,39,40,59,g6571,336,97,88,37,23,13,18,31,30,FBgn0032907,CG9272,0,
Dpul_Gene_2066,LOC124192441,lysine--tRNA ligase-like isoform X2,3579,11604,22412,7571,11020,3332,4221,5281,g6570,4658,5996,5925,3276,2107,1615,2454,3560,2080,FBgn0027084,LysRS,Lysyl-tRNA synthetase,
Dpul_Gene_2067,LOC124192442,neither inactivation nor afterpotential protein C-like,205,1059,2136,4214,18124,10009,9872,602,g6568,80,221,189,135,191,1023,7527,6079,3114,FBgn0002938,ninaC,neither inactivation nor afterpotential C,
Dpul_Gene_2068,LOC124192443,tumor necrosis factor receptor superfamily member 16-like,517,5885,8940,3099,3143,1252,1576,459,g6569,88,748,813,633,562,152,6029,3928,2233,FBgn0034718,wdp,windpipe,
Dpul_Gene_2069,LOC124192445,protein Wnt-10a-like isoform X2,7,141,347,134,196,63,68,18,g6567,3,51,72,90,105,31,205,128,87,FBgn0031903,Wnt10,Wnt oncogene analog 10,
Dpul_Gene_2070,LOC124192446,protein Wnt-6-like,45,76,93,46,65,36,40,15,g6566,25,58,35,32,33,10,44,67,53,FBgn0031902,Wnt6,Wnt oncogene analog 6,
Dpul_Gene_2071,LOC124192448,protein wingless-like,192,2402,2941,699,1084,355,441,133,g6565,47,381,375,163,113,62,1155,803,534,FBgn0284084,wg,wingless,
Dpul_Gene_2072,LOC124192449,cleavage and polyadenylation specificity factor subunit 1-like,2213,7219,9717,2317,1733,720,1554,1086,g6563,1212,1695,1289,424,224,163,413,1026,562,FBgn0024698,Cpsf160,Cleavage and polyadenylation specificity factor 160,
Dpul_Gene_2073,LOC124192450,protein Wnt-9a-like,5,170,568,153,258,84,41,13,g6564,373,350,339,223,176,209,326,246,213,FBgn0010194,Wnt5,Wnt oncogene analog 5,
Dpul_Gene_2074,LOC124192452,HAUS augmin-like complex subunit 4,136,636,1121,147,116,89,59,90,g6562,626,702,605,118,54,19,51,84,57,FBgn0038953,CG18596,0,
Dpul_Gene_2075,LOC124192454,cytoplasmic tRNA 2-thiolation protein 2-B-like isoform X1,713,1536,3457,994,1183,695,878,872,g6559,1541,935,834,437,309,241,852,677,408,FBgn0032793,CG10189,0,
Dpul_Gene_2076,LOC124192455,uncharacterized protein LOC124192455,1897,1616,1532,188,362,265,254,1062,g6561,2947,752,467,44,10,14,23,27,126,FBgn0050377,CG30377,0,
Dpul_Gene_2077,LOC124192456,eukaryotic translation initiation factor 2 subunit 2-like isoform X2,3973,13974,25656,8684,9144,2716,3717,3327,g6560,5627,8693,8374,4053,2868,1929,925,2363,1271,FBgn0004926,eIF2beta,eukaryotic translation initiation factor 2 subunit beta,
Dpul_Gene_2078,LOC124192457,uncharacterized protein LOC124192457,13,24,17,7,16,9,1,14,g5251,30,10,9,9,16,11,22,16,30,FBgn0029663,CG10804,0,
Dpul_Gene_2079,LOC124192460,potassium channel subfamily K member 10-like isoform X3,40,376,1019,556,1488,741,640,484,g6841,36,156,155,93,103,152,258,229,205,FBgn0017561,Ork1,Open rectifier K[+] channel 1,
Dpul_Gene_2080,LOC124192461,cell wall protein DAN4-like,24,135,334,35,12,6,5,21,g19902,7,1,1,1,1,3,5,13,17,FBgn0036427,CG4613,0,
Dpul_Gene_2081,LOC124192462,CWF19-like protein 2,1329,3961,6105,1672,1835,1196,1105,1113,g471,1275,1079,964,429,369,246,583,572,621,FBgn0030655,CG9213,0,
Dpul_Gene_2082,LOC124192463,E3 ubiquitin-protein ligase HUWE1-like isoform X4,16876,58195,87616,31061,47428,20677,25162,21330,g6846,4210,6591,4812,2590,2356,2043,24338,23354,17978,FBgn0030674,HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",
Dpul_Gene_2083,LOC124192464,eIF-2-alpha kinase GCN2-like,1035,2803,6869,2737,4321,2342,1587,1572,g6844,545,396,303,226,194,234,1764,873,929,FBgn0019990,Gcn2,Gcn2,
Dpul_Gene_2084,LOC124192465,uroporphyrinogen decarboxylase-like,142,1943,5788,4711,6166,699,770,3581,g6847,150,701,696,789,867,1530,475,1411,1243,FBgn0033428,Urod,Uroporphyrinogen decarboxylase,
Dpul_Gene_2085,LOC124192466,dynactin subunit 6-like,274,741,1930,575,595,206,258,287,g6845,940,594,552,382,381,248,161,187,132,FBgn0086446,DCTN6-p27,"Dynactin 6, p27 subunit",
Dpul_Gene_2086,LOC124192467,helicase ARIP4-like isoform X1,2442,9779,20452,7659,12273,4332,4464,2689,g6848,1415,1370,1099,660,587,499,3503,2576,1841,FBgn0034976,CG4049,0,
Dpul_Gene_2087,LOC124192468,uncharacterized protein LOC124192468,468,1103,2416,858,1467,377,314,370,g6850,729,653,564,314,257,170,323,273,211,FBgn0039554,CG5003,0,
Dpul_Gene_2088,LOC124192469,pre-mRNA-splicing factor ISY1 homolog,1130,3133,4710,1347,1543,606,676,933,g6849,1683,1758,1596,681,437,294,330,430,324,FBgn0037550,CG9667,0,
Dpul_Gene_2089,LOC124192470,ELAV-like protein 1 isoform X29,40,2534,10961,4564,7650,2918,2453,416,g6851,31,159,211,264,188,406,2811,2189,1131,FBgn0086675,fne,found in neurons,
Dpul_Gene_2090,LOC124192474,AP-1 complex subunit mu-1-like,1269,4327,9016,3679,4638,1570,1963,1427,g6852,1493,2075,2005,1461,1329,1068,1264,1643,927,FBgn0024833,AP-1mu,"Adaptor Protein complex 1, mu subunit",
Dpul_Gene_2091,LOC124192475,gamma-aminobutyric acid receptor exp-1-like isoform X1,51,54,152,284,874,319,313,149,g6853,40,5,5,10,56,70,813,540,377,FBgn0003011,ort,ora transientless,
Dpul_Gene_2092,LOC124192476,transmembrane protease serine 9-like,0,0,1,70,186,20,9,2,g529,0,0,0,1,6,64,10,20,45,,,,
Dpul_Gene_2093,LOC124192477,sarcosine dehydrogenase%2C mitochondrial-like isoform X1,450,1268,4154,3348,10031,6973,3701,3682,g6857,335,380,416,634,1000,1768,4514,1894,2591,FBgn0034276,Sardh,Sarcosine dehydrogenase,
Dpul_Gene_2094,LOC124192478,KN motif and ankyrin repeat domain-containing protein 2-like isoform X3,910,5708,9748,3839,5469,2009,2073,960,g6855,909,1899,1698,1018,1012,598,1982,1352,1042,FBgn0027596,Kank,Kank,
Dpul_Gene_2095,LOC124192479,arf-GAP domain and FG repeat-containing protein 1-like isoform X2,956,1531,3630,1619,3476,953,1017,1103,g6854,824,328,287,158,153,208,822,810,727,FBgn0020304,drongo,drongo,
Dpul_Gene_2096,LOC124192480,transmembrane emp24 domain-containing protein 1-like,430,1518,4102,1419,1349,392,352,517,g6856,694,946,896,552,358,351,109,267,189,FBgn0264389,opm,opossum,
Dpul_Gene_2097,LOC124192481,homeobox protein prospero-like,11,2165,6790,1137,1153,323,364,119,g979,4,179,233,224,85,59,798,452,256,FBgn0004595,pros,prospero,Prox1
Dpul_Gene_2098,LOC124192482,TATA-binding protein-associated factor 172-like,3480,8677,17082,6431,9998,3378,3637,2059,g6862,1756,2142,1608,1003,916,722,3108,2867,2170,FBgn0022787,Hel89B,Helicase 89B,
Dpul_Gene_2099,LOC124192483,protein MLP1-like isoform X3,884,644,14956,11940,45613,9048,9685,5931,g6868,654,263,284,1285,888,2711,13059,10664,10698,FBgn0261015,Pif1A,PFTAIRE-interacting factor 1A,
Dpul_Gene_2100,LOC124192484,cytosolic carboxypeptidase 4-like isoform X2,176,1453,2306,1254,6814,1897,1325,830,g6861,104,281,273,109,165,713,4014,1218,1477,FBgn0265726,Nna1,Nna1 carboxypeptidase,
Dpul_Gene_2101,LOC124192485,uncharacterized protein LOC124192485,866,3331,8962,2523,13201,1485,1963,1419,g6870,742,1560,1008,1002,349,1097,269,665,901,FBgn0051720,mthl15,methuselah-like 15,
Dpul_Gene_2102,LOC124192486,GTP-binding protein 2-like,940,3120,4619,1699,6779,1994,1149,1312,g6867,673,1126,1025,431,366,479,2374,758,1253,FBgn0037391,CG2017,0,
Dpul_Gene_2103,LOC124192487,protein singed-like,2868,7498,20915,9705,15089,2690,4217,4880,g6859,3758,3354,3516,2018,1843,2181,1347,2561,2696,FBgn0003447,sn,singed,
Dpul_Gene_2104,LOC124192488,RNA-binding protein 25-like isoform X2,3725,9433,14610,3501,3635,1543,2587,2368,g982,3329,3692,3029,1263,920,463,890,1659,1090,FBgn0028474,CG4119,0,
Dpul_Gene_2105,LOC124192490,26S proteasome non-ATPase regulatory subunit 4-like,2021,6353,10383,3107,3084,1086,1321,1441,g6865,3690,4019,3637,1860,1255,655,825,1218,773,FBgn0015283,Rpn10,Regulatory particle non-ATPase 10,
Dpul_Gene_2106,LOC124192491,putative RNA-binding protein Luc7-like 1 isoform X2,1144,4830,9280,3800,5804,2744,2788,1329,g6860,1829,2764,2885,2262,2815,1675,2491,1968,1568,FBgn0036734,CG7564,0,
Dpul_Gene_2107,LOC124192492,vesicle transport protein SEC20-like,127,463,1698,563,746,251,199,211,g6866,510,523,524,290,260,212,114,109,106,FBgn0037383,Sec20,Secretory 20,
Dpul_Gene_2108,LOC124192493,DNA-directed RNA polymerases I%2C II%2C and III subunit RPABC1,971,3767,5236,1087,951,457,624,484,g6863,1316,2377,2153,842,414,223,372,468,279,FBgn0033571,Rpb5,Rpb5,
Dpul_Gene_2109,LOC124192495,probable 28S ribosomal protein S23%2C mitochondrial,180,859,2447,965,1038,221,268,144,g6869,434,689,720,557,447,542,174,240,119,FBgn0260407,mRpS23,mitochondrial ribosomal protein S23,
Dpul_Gene_2110,LOC124192496,golgin subfamily A member 7-like,470,958,2167,733,1110,321,307,512,g6864,1490,763,704,424,468,308,174,200,151,FBgn0039427,CG5447,0,
Dpul_Gene_2111,LOC124192500,vacuolar protein sorting-associated protein 53 homolog,641,1682,4962,2211,3100,1313,1009,984,g6871,737,925,810,473,491,382,881,848,675,FBgn0031598,Vps53,Vacuolar protein sorting 53,
Dpul_Gene_2112,LOC124192501,peptide methionine sulfoxide reductase-like isoform X2,102,728,1471,752,1044,2130,1140,592,g7182,576,1354,1386,931,688,978,998,664,420,FBgn0000565,MsrA,Methionine sulfoxide reductase A,
Dpul_Gene_2113,LOC124192502,dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex%2C mitochondrial-like,768,3734,9586,6478,13066,4051,3755,2559,g980,784,1558,1596,1451,1552,2843,4647,3788,2799,FBgn0037891,CG5214,0,
Dpul_Gene_2114,LOC124192503,aminopeptidase N-like,2,66,212,280,669,226,143,126,g7186,468,974,1005,481,398,336,297,186,213,FBgn0039640,CG14516,0,
Dpul_Gene_2115,LOC124192504,autophagy-related protein 13-like,486,1659,3766,1734,2037,806,899,777,g7184,539,795,740,508,654,455,779,819,426,FBgn0261108,Atg13,Autophagy-related 13,
Dpul_Gene_2116,LOC124192505,tubulin beta chain-like,7868,8815,29242,9244,10423,3293,6932,10865,g7187,10747,4014,5153,5637,4474,2371,3934,5619,3724,FBgn0284243,betaTub56D,beta-Tubulin at 56D,
Dpul_Gene_2117,LOC124192506,GDP-mannose 4%2C6 dehydratase-like isoform X2,929,2950,9202,6410,2701,1658,1942,1176,g7188,1647,1127,1355,2146,6405,1487,1374,2044,793,FBgn0031661,Gmd,"GDP-mannose 4,6-dehydratase",
Dpul_Gene_2118,LOC124192507,reticulocalbin-2-like isoform X1,699,4731,14067,6220,6966,1512,1588,932,g7183,781,2047,2163,1577,1444,1292,807,902,578,FBgn0031673,CG31650,0,
Dpul_Gene_2119,LOC124192508,guanylate kinase-like isoform X2,305,800,3987,2146,1450,689,916,527,g7185,786,858,1002,1235,1767,737,419,653,237,FBgn0036099,CG11811,0,
Dpul_Gene_2120,LOC124192513,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I-like,594,1966,4949,1868,2618,875,1008,889,g978,1032,1349,1316,1079,1081,497,752,718,434,FBgn0066114,GlcAT-I,Glucuronyltransferase I,
Dpul_Gene_2121,LOC124192514,non-structural maintenance of chromosomes element 1 homolog,272,661,961,190,403,180,231,226,g6285,969,307,280,97,54,60,89,165,139,FBgn0046296,DEF8,differentially expressed in FDCP 8 homolog,
Dpul_Gene_2122,LOC124192515,uncharacterized protein LOC124192515,0,4,17,12,6595,870,808,2095,g6306,1,1,2,3,102,555,4,124,470,,,,
Dpul_Gene_2123,LOC124192516,protein PTHB1-like,0,56,213,58,105,35,47,12,g6694,5,18,28,22,23,17,29,20,14,FBgn0034622,BBS9,Bardet-Biedl syndrome 9,
Dpul_Gene_2124,LOC124192517,sodium-independent sulfate anion transporter-like,1,0,22,172,611,1176,1257,530,g617,3,2,3,6,150,222,1388,1358,691,,,,
Dpul_Gene_2125,LOC124192518,E3 ubiquitin-protein ligase Ufd4-like,1937,7691,18801,8112,18230,4886,5929,3653,g6110,138,245,256,273,166,258,14419,10598,8625,FBgn0032208,Ufd4,Ubiquitin fusion-degradation 4-like,
Dpul_Gene_2126,LOC124192519,putative E3 ubiquitin-protein ligase UBR7,1705,3266,4838,1426,2003,867,873,1171,g6111,2692,1279,1185,488,393,229,569,479,347,FBgn0032635,CG15141,0,
Dpul_Gene_2127,LOC124192520,glutamate receptor ionotropic%2C delta-1-like,0,0,3,5,32,15,8,0,g6681,0,1,1,3,7,23,53,31,18,FBgn0259215,Ir93a,Ionotropic receptor 93a,
Dpul_Gene_2128,LOC124192521,uroporphyrinogen-III synthase-like,30,131,155,98,270,108,68,233,g6677,47,112,82,52,63,75,126,108,170,FBgn0030066,Uros1,Uroporphyrinogen III synthase 1,
Dpul_Gene_2129,LOC124192522,replication protein A 70 kDa DNA-binding subunit-like,0,48,105,47,79,21,4,5,g23697,0,19,31,4,0,1,0,1,1,,,,
Dpul_Gene_2130,LOC124192524,iron-sulfur cluster assembly 2 homolog%2C mitochondrial-like,49,136,396,242,468,153,157,91,g981,113,84,92,80,85,122,104,94,63,FBgn0039205,CG13623,0,
Dpul_Gene_2131,LOC124192525,dnaJ-like protein 60,54,434,1193,636,1674,654,558,376,g6842,54,200,172,95,90,145,178,240,217,,,,
Dpul_Gene_2132,LOC124192526,uncharacterized protein LOC124192526,0,7,45,67,149,17,18,6,g6858,0,1,2,11,25,35,18,14,7,,,,
Dpul_Gene_2133,LOC124192528,spore coat protein YeeK-like,0,0,1568,5927,4470,611,806,540,g7407,0,0,1,168,945,248,11,25,10,FBgn0030438,CG15721,0,
Dpul_Gene_2134,LOC124192531,uncharacterized protein LOC124192531,84,341,1237,384,441,214,205,179,g7097,306,489,487,291,286,144,131,175,144,,,,
Dpul_Gene_2135,LOC124192532,uncharacterized protein LOC124192532,8,11,28,16,19,10,14,93,g6628,67,11,8,3,3,2,9,14,29,,,,
Dpul_Gene_2136,LOC124192533,synapsin-like,125,13,390,1044,3049,778,589,183,g6524,16,4,7,38,107,201,853,494,200,FBgn0004575,Syn,Synapsin,
Dpul_Gene_2137,LOC124192534,uncharacterized protein LOC124192534,323,3378,8683,3134,5518,1982,1549,369,g6547,197,1621,1650,1304,700,1319,2085,1378,801,FBgn0027111,miple1,midkine and pleiotrophin 1,
Dpul_Gene_2138,LOC124192536,uridine diphosphate glucose pyrophosphatase NUDT22-like,27,362,1118,697,557,311,283,154,g6558,51,257,338,359,708,279,273,295,195,FBgn0265102,Oseg1,Outer segment 1,
Dpul_Gene_2139,LOC124192544,40S ribosomal protein S28-like,2037,10914,21203,6551,8233,5063,5037,4345,g7157,50,132,104,47,30,30,52,46,20,FBgn0032474,DnaJ-H,DnaJ homolog,
Dpul_Gene_2140,LOC124192552,conserved oligomeric Golgi complex subunit 2-like,532,2533,7339,3126,3267,1230,1198,795,g7415,785,1200,1104,743,872,504,953,1052,555,FBgn0026634,Cog2,Component of oligomeric golgi complex 2,
Dpul_Gene_2141,LOC124192553,integrator complex subunit 10-like,535,2077,4083,1130,1311,744,479,373,g7419,658,1032,927,381,300,233,644,444,351,FBgn0035462,IntS10,Integrator 10,
Dpul_Gene_2142,LOC124192554,uncharacterized protein LOC124192554 isoform X1,819,3146,3933,380,452,139,222,363,g7420,1752,1942,1607,261,49,44,45,139,120,FBgn0033806,FLASH,FLICE-associated huge protein,
Dpul_Gene_2143,LOC124192555,plasmanylethanolamine desaturase-like isoform X1,53,809,3923,1962,3460,1123,947,477,g7416,118,435,567,618,767,776,1244,969,562,FBgn0032850,Kua,Kua,
Dpul_Gene_2144,LOC124192556,uncharacterized protein LOC124192556,0,19,1819,5084,21948,3615,3138,839,g7417,0,3,6,242,532,6442,10541,9213,4472,FBgn0005633,fln,flightin,
Dpul_Gene_2145,LOC124192557,flightin-like,4,9,36,3125,20603,8587,5926,1860,g7418,0,2,2,27,449,7755,18570,11654,7359,FBgn0005633,fln,flightin,
Dpul_Gene_2146,LOC124192558,uncharacterized protein LOC124192558,38,1,5,4,4,1,1,0,g18289,40,1,0,0,0,0,1,0,0,,,,
Dpul_Gene_2147,LOC124192562,eukaryotic translation initiation factor 4 gamma 1-like isoform X1,16677,61522,115383,42607,73862,19357,32781,29598,g6208,5639,11114,8768,4595,3434,3627,15079,23835,14471,FBgn0023213,eIF4G1,eukaryotic translation initiation factor 4G1,
Dpul_Gene_2148,LOC124192563,condensin complex subunit 3-like isoform X1,5508,13579,11070,868,1212,885,714,2439,g6201,4489,4973,3398,618,145,118,726,855,976,FBgn0259876,Cap-G,Chromosome associated protein G,
Dpul_Gene_2149,LOC124192564,uncharacterized protein LOC124192564 isoform X1,1530,5627,9706,3435,6261,2019,2800,2405,g6213,936,2480,2279,1522,1388,1201,2897,3445,2449,FBgn0023213,eIF4G1,eukaryotic translation initiation factor 4G1,
Dpul_Gene_2150,LOC124192565,trypsin-1-like,1,0,0,3,70,205,129,465,g539,27,3,1,0,1,89,160,535,1105,FBgn0011556,zetaTry,zetaTrypsin,
Dpul_Gene_2151,LOC124192566,uncharacterized protein LOC124192566 isoform X3,74,416,930,335,512,353,261,224,g6216,91,169,131,120,122,59,135,117,129,FBgn0035251,Vta1,Vesicle trafficking 1,
