CON21 Name,A,B,C,D,E,F,G,H,I,Fly Name (ZQ),Fly Description (ZQ),KAP4 Protein,KAP4 Locus,KAP4 Descritpion,C. elegans,Human,Honeybee,Mouse,Zebrafish,Silkworm,Mosquito,Cluster
g5761,0,45,74,153,98,48,119,69,37,,,XP_046438657.1,LOC124190139,uncharacterized protein LOC124190139,,,,,,,,1
g13951,13,4,4,9,21,68,98,59,152,,,XP_046449633.1,LOC124198037,cytochrome P450 3A14-like,,ENSP00000337450.2,XP_026296210.1,ENSMUSP00000031633.5,,NP_001266295.1,,14
g3716,6,26,38,46,40,20,150,114,132,,,,,,R09E10.6.1,,,,,XP_037870855.1,,1
g22920,2,47,94,77,53,135,99,73,150,scrib,scribble,XP_046456790.1,LOC124203931,protein lap4-like,,ENSP00000431519.1,,,,,,3
g14333,63,132,83,50,66,70,135,150,131,Tmtc3,Transmembrane and tetratricopeptide repeat containing 3,XP_046450089.1,LOC124198316,protein O-mannosyl-transferase TMTC2-like,F32D1.3a.1,ENSP00000322300.3,,,,XP_004928023.1,,14
g1839,6,30,34,37,52,66,149,81,64,Sox21a,Sox21a,XP_046436937.1,LOC124188388,transcription factor Sox-1-like,F40E10.2.2,,XP_001121910.1,,ENSDARP00000023480.6,XP_004931030.1,XP_001651644.2,4
g24542,100,33,17,39,71,38,148,92,141,,,,,,,,,,,,,14
g24147,41,4,3,9,8,86,147,10,44,spin,spinster,XP_046461979.1,LOC124208260,protein spinster homolog 3-like,,,,ENSMUSP00000032994.9,,,,1
g21327,15,31,10,5,31,70,146,131,42,CG7542,0,,,,,,,,,,,4
g24624,1,10,12,4,72,13,146,103,83,,,,,,R02F11.2.1,,,,,,,1
g17186,3,19,17,17,30,24,143,77,44,oc,ocelliless,XP_046452377.1,LOC124200243,homeobox protein OTX1 B-like,Y113G7A.6b.1,,,,,,,1
g1371,9,56,63,39,28,44,139,66,143,CG31077,0,XP_046443528.1,LOC124193647,chitin-binding domain protein cbd-1-like,,,,,,,,14
g9650,3,5,2,8,14,71,139,36,58,NAAT1,Nutrient Amino Acid Transporter 1,XP_046443643.1,LOC124193720,sodium-dependent nutrient amino acid transporter 1-like,,,,,,,,4
g15886,0,6,13,67,57,31,138,80,62,,,,,,,,,,,,,4
g17823,3,29,34,40,63,33,108,135,80,Amyrel,Amyrel,XP_046454588.1,LOC124202312,uncharacterized protein LOC124202312,,,,ENSMUSP00000137135.2,,,,14
g19940,1,8,2,1,3,28,134,31,78,,,,,,,,,,,XP_021203782.2,,1
g1727,7,0,0,14,83,59,134,82,45,CG14142,0,XP_046453708.1,LOC124201375,inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B-like,,,,,ENSDARP00000155481.1,XP_037872084.1,,4
g5781,113,27,19,47,101,80,86,134,130,CG6472,0,XP_046440200.1,LOC124191190,pancreatic lipase-related protein 2-like,Y65B4BR.2d.1,,XP_016770806.2,,,XP_012549133.1,,1
g19954,2,36,34,38,63,34,131,97,56,,,,,,,,,,,XP_021204444.2,,1
g11981,11,0,1,0,0,4,130,46,16,CG11227,0,,,,,,,,,,,1
g15218,0,5,6,27,33,24,98,127,50,,,,,,,,,,,,,14
g13324,4,39,50,44,58,124,87,114,60,,,,,,,,,,,,,4
g23730,9,0,0,1,0,22,78,27,124,,,,,,,,,,,,,2
g868,50,23,23,29,60,45,117,114,123,,,,,,,,,,,,,14
g22682,20,5,3,2,1,24,122,86,42,CG12581,0,XP_046456461.1,LOC124203713,uncharacterized protein LOC124203713,,,,,,,,14
g16976,17,7,5,10,21,42,121,46,81,,,,,,,,,,,,,1
g22106,7,1,2,5,6,3,119,48,40,,,,,,,,,,,,,1
g12430,0,45,99,108,36,85,119,53,50,Dscam3,Down syndrome cell adhesion molecule 3,XP_046449264.1,LOC124197764,fibroblast growth factor receptor-like 1,,,,,ENSDARP00000147970.1,,XP_001663291.2,1
g15162,6,41,44,62,94,60,119,106,89,,,,,,,,,,,,,4
g9159,6,52,47,28,42,32,118,66,56,,,XP_046444535.1,LOC124194402,spermine oxidase-like,C24G6.6.3,,XP_006563508.3,,ENSDARP00000144237.2,,,1
g14383,17,56,52,52,62,35,117,95,83,CG4456,0,,,,,,,,,,,1
g17321,90,3,2,12,15,28,115,61,29,CG10960,0,XP_046452119.1,LOC124200073,solute carrier family 2%2C facilitated glucose transporter member 8-like isoform X1,,,,,ENSDARP00000133291.1,,,1
g3543,0,6,5,2,3,7,115,103,106,,,,,,,,,,,,,14
g22142,11,1,0,1,6,17,115,84,38,,,XP_046457062.1,LOC124204091,glutamate receptor ionotropic%2C delta-1-like,,,,,,,,4
g1271,3,9,6,12,19,25,114,81,53,CG12502,0,,,,R05D7.3d.1,,XP_006560054.1,ENSMUSP00000092253.4,ENSDARP00000041249.3,XP_037870017.1,XP_021698858.1,4
g900,0,3,3,15,16,26,112,45,58,sens-2,senseless-2,XP_046446408.1,LOC124195845,B-cell CLL/lymphoma 6 member B protein-like isoform X1,F45B8.4.1,ENSP00000361195.1,XP_003249677.2,ENSMUSP00000028156.8,ENSDARP00000150679.1,XP_004929344.1,XP_021702398.1,4
g1144,83,14,8,7,68,64,77,112,34,,,XP_046452048.1,LOC124200009,pancreatic triacylglycerol lipase-like isoform X1,,ENSP00000434159.1,,ENSMUSP00000056377.8,ENSDARP00000069990.3,,,1
g2762,24,1,1,1,30,32,110,56,29,ics,icarus,,,,,,XP_006571647.1,,,,,4
g23754,5,25,33,18,8,2,104,90,66,Or22c,Odorant receptor 22c,,,,,ENSP00000502390.1,,,,,,1
g23478,66,20,12,14,26,71,45,102,55,CG32579,0,,,,,,,,,,,6
g9539,1,13,15,52,101,44,57,64,53,,,,,,,,,,,,,11
g25265,5,0,1,0,2,43,100,22,34,,,XP_046463174.1,LOC124209274,uncharacterized protein LOC124209274,,,,,,,,1
g774,90,46,45,71,91,40,90,64,99,,,XP_046445099.1,LOC124194776,uncharacterized protein LOC124194776,,,,,,,,2
g17243,0,2,2,1,6,91,99,28,25,CG11155,0,,,,,,,,,,,4
g13113,3,19,16,12,13,37,31,50,98,,,,,,,,,,,,,2
g8441,6,61,56,28,37,68,62,58,96,,,,,,,,,,,,,1
g1717,25,9,10,43,76,29,62,34,95,,,,,,,ENSP00000251921.2,,,,,,1
g61,4,34,35,21,32,48,80,49,94,,,,,,,,,,ENSDARP00000139099.1,,,1
g5434,9,46,50,46,84,86,92,70,47,,,XP_046440663.1,LOC124191466,ganglioside GM2 activator-like isoform X1,,,,,ENSDARP00000133664.2,,XP_021710677.1,4
g2120,80,9,12,18,30,15,92,40,81,,,,,,,,,,,,,6
g25617,0,10,20,4,3,11,91,55,58,cv-d,crossveinless d,XP_046463394.1,LOC124209456,vitellogenin-like isoform X2,,,,,,NP_001037309.1,XP_001657509.1,1
g11792,5,1,0,0,1,6,42,88,82,,,,,,T07F8.1.1,,,,,,,14
g16099,0,4,1,3,13,84,82,37,88,Esp,Epidermal stripes and patches,XP_046450971.1,LOC124199261,sodium-independent sulfate anion transporter-like,,ENSP00000459470.1,XP_006557532.1,ENSMUSP00000050999.8,ENSDARP00000146354.1,XP_012546046.1,XP_021713115.1,3
g13677,69,5,11,26,86,11,76,72,21,beta-Spec,beta Spectrin,XP_046447777.1,LOC124196665,probable methyltransferase-like protein 24,,,,,,,,6
g25732,0,2,2,4,5,17,86,48,52,,,,,,H40L08.1.1,,,,,,,1
g19916,21,3,2,3,7,9,85,43,42,,,XP_046455424.1,LOC124202946,uncharacterized protein LOC124202946,,,,,,,,1
g16042,0,8,13,13,60,25,84,77,23,FucTC,"alpha1,3-fucosyltransferase C",XP_046452802.1,LOC124200578,alpha-(1%2C3)-fucosyltransferase C-like,,,,,,,,1
g1725,32,2,0,6,42,25,84,41,24,CG14142,0,XP_046453704.1,LOC124201322,inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B-like,,ENSP00000265299.6,XP_006567483.2,,,,,1
g20238,22,1,0,0,2,0,14,83,84,CG3355,0,XP_046457725.1,LOC124204658,venom peptide isomerase heavy chain-like,,,,,,,,2
g20345,0,13,10,5,3,2,82,24,3,,,,,,,,,,,,,1
g17463,39,15,18,6,12,5,82,59,66,CG2540,0,,,,,,,,,,,1
g22023,1,10,16,29,38,47,61,58,80,,,,,,,,,,,,,14
g6686,3,13,13,16,18,16,78,41,52,,,XP_046442432.1,LOC124192907,uncharacterized protein LOC124192907,,,,,,NP_001095197.1,,1
g22194,3,0,0,0,0,27,77,4,30,crq,croquemort,XP_046457347.1,LOC124204350,lysosome membrane protein 2-like isoform X1,,,,,,,XP_021695541.1,1
g27009,2,0,0,1,9,73,54,17,20,CG15548,0,XP_046462749.1,LOC124208928,uncharacterized protein LOC124208928,,,,,,,,4
g4278,2,20,25,54,56,47,70,53,71,,,,,,,,,,,,,4
g7724,11,5,8,14,12,14,70,48,21,,,,,,,,,,,,,1
g3678,0,2,3,6,41,42,69,33,10,,,XP_046458134.1,LOC124204929,uncharacterized protein LOC124204929,,,,,,,,4
g19588,8,34,45,46,67,65,65,59,66,,,XP_046454712.1,LOC124202407,uncharacterized protein LOC124202407,,,,,,,,4
g5381,3,0,0,1,5,35,65,33,58,,,XP_046440436.1,LOC124191317,uncharacterized protein LOC124191317,,,,ENSMUSP00000119895.2,,XP_004924018.1,XP_021693718.1,1
g17714,19,54,1,3,12,51,63,39,10,CNMa,CNMamide,XP_046454161.1,LOC124201942,uncharacterized protein LOC124201942,,,XP_006570422.1,,,,XP_001654632.1,1
g23901,30,2,2,3,1,10,2,61,33,,,,,,,,,,,,,2
g16867,45,2,2,18,14,57,40,20,61,,,,,,,,,,,,,1
g21369,1,8,11,20,19,25,61,41,46,Capa,Capability,XP_046457767.1,LOC124204691,uncharacterized protein LOC124204691 isoform X2,,,,,,,,1
g22912,10,33,25,28,37,31,61,47,51,,,XP_046456795.1,LOC124203935,4-coumarate--CoA ligase-like,,,,,,,,1
g2721,2,9,10,15,18,15,60,34,14,,,,,,,,,,,,,1
g4042,54,6,9,22,35,19,55,42,57,CG31301,0,XP_046439690.1,LOC124190859,uncharacterized protein LOC124190859,,ENSP00000398581.2,,ENSMUSP00000062837.7,ENSDARP00000091424.4,,,1
g22600,3,22,18,15,21,50,56,37,34,Elp1,Elongator complex protein 1,XP_046456306.1,LOC124203628,uncharacterized protein LOC124203628 isoform X2,,,,,,,,4
g26685,1,6,3,7,16,37,27,23,54,ru,roughoid,XP_046462105.1,LOC124208437,uncharacterized protein LOC124208437 isoform X1,,,,,,,,2
g23945,2,11,10,10,8,5,54,30,31,,,,,,,,,,,,,1
g170,0,8,10,14,16,54,47,31,31,CG7632,0,XP_046443804.1,LOC124193843,serine hydrolase-like protein,,,,,ENSDARP00000042157.3,,,4
g14779,3,25,17,23,10,19,38,53,33,,,,,,,,,,,,,1
g3103,1,11,12,8,53,31,22,19,9,,,,,,,,,,,,,11
g3892,2,0,0,6,10,37,53,31,22,,,,,,,,,,,,,4
g10534,13,3,6,10,10,9,49,30,19,CG7322,0,XP_046446121.1,LOC124195652,dynein regulatory complex subunit 2-like,,ENSP00000266984.5,XP_026297954.1,ENSMUSP00000003444.5,ENSDARP00000144012.1,XP_021204463.2,XP_001655336.2,1
g10762,1,11,13,17,23,7,25,34,49,,,,,,,,,ENSMUSP00000048129.8,,,,14
g20907,42,9,2,5,4,9,48,41,46,Rh5,Rhodopsin 5,XP_046458520.1,LOC124205196,pinopsin-like,,,NP_001035057.1,,,XP_021205037.1,,4
g16519,0,4,5,3,15,1,47,43,33,,,,,,,,,,,,,14
g1539,34,6,7,17,44,28,37,32,39,,,,,,,,,,,,,1
g23381,7,0,1,1,2,3,44,31,19,,,,,,,,,,,,,4
g11538,5,17,20,19,15,13,15,28,43,,,,,,C07G1.1.1,,,,,,,2
g9538,0,6,5,19,26,9,27,43,26,,,,,,,,,,,,,4
g9891,0,4,0,0,1,1,43,27,17,,,,,,,ENSP00000489122.1,,,,,,1
g15390,20,2,1,10,34,6,33,41,12,,,,,,,,,,,,,1
g14124,0,3,1,1,7,12,41,23,31,,,XP_046449848.1,LOC124198181,uncharacterized protein LOC124198181 isoform X1,,,,,,,,1
g15400,20,2,1,10,33,6,33,40,13,,,XP_046452088.1,LOC124200049,uncharacterized protein LOC124200049,,,,,,,,1
g20537,23,2,1,1,2,14,40,30,20,,,XP_046457835.1,LOC124204740,protein fem-1 homolog A-like,,,,,,,,4
g23944,0,8,9,4,3,7,40,25,32,,,,,,,,,,,,,1
g16085,0,2,2,10,11,40,28,5,5,,,,,,,,,,,,,3
g16003,1,5,2,0,2,1,27,39,13,CG9372,0,XP_046451200.1,LOC124199432,chymotrypsin-like elastase family member 2A,,,,,,,,14
g22107,31,3,3,5,9,4,38,21,25,,,,,,,,,,,,,1
g27042,18,8,9,10,14,14,37,24,15,crb,crumbs,XP_046464308.1,LOC124210055,uncharacterized protein LOC124210055 isoform X1,,ENSP00000295618.3,,ENSMUSP00000098678.5,ENSDARP00000108683.1,,,1
g8226,2,20,25,4,10,10,2,37,32,,,,,,,,,,,,,2
g20378,2,8,4,19,21,14,36,31,37,Ank2,Ankyrin 2,,,,F07B10.2.1,,,,,,,1
g301,24,5,6,4,6,6,34,28,35,,,,,,,,,,,,,2
g25429,1,6,3,1,0,14,4,35,14,CG6865,0,XP_046463283.1,LOC124209379,trypsin-7-like,,,,ENSMUSP00000157077.2,,,,1
g8673,3,0,1,4,17,6,34,20,18,,,,,,,,,,,,,1
g20669,21,8,10,14,21,11,33,7,19,,,,,,,,,,,,,1
g8692,1,15,18,15,9,15,13,23,33,,,XP_046443236.1,LOC124193462,uncharacterized protein LOC124193462,,,,,,,,2
g5612,19,0,0,1,8,6,33,13,15,dpy,dumpy,XP_046438905.1,LOC124190324,P cell-type agglutination protein map4-like,,,,,,,,1
g14234,0,3,2,1,4,1,33,32,18,r,rudimentary,,,,,,,,,,,4
g24250,32,5,7,3,3,7,28,31,26,,,,,,,,,,,,,1
g7722,6,0,1,2,2,5,32,21,9,,,,,,,ENSP00000492054.1,,,,XP_037876578.1,,4
g17100,5,0,0,0,0,16,8,31,4,,,,,,,ENSP00000494727.1,,,,,,1
g15491,2,18,10,7,14,24,18,15,30,,,XP_046450938.1,LOC124199240,uncharacterized protein LOC124199240,,,,,,,,1
g9557,1,8,4,2,2,30,29,14,11,,,,,,,,,,,,,1
g23357,21,2,2,20,29,23,25,15,13,NT1,Neurotrophin 1,XP_046459103.1,LOC124205678,uncharacterized protein LOC124205678 isoform X1,,,,,,,,11
g26666,3,14,12,12,13,14,25,29,10,,,,,,,,,,,,,1
g24638,5,0,0,0,1,3,5,28,11,Muc12Ea,Mucin 12Ea,XP_046461363.1,LOC124207783,cell wall protein DAN4-like,,,,,,,,1
g20408,0,0,0,1,4,4,28,13,12,,,,,,,ENSP00000488973.1,,,,,,1
g16430,0,9,6,1,1,6,27,18,7,CG14207,0,XP_046452580.1,LOC124200397,alpha-crystallin A chain-like,T27E4.2.1,,,,,,,1
g23382,4,0,0,0,1,3,27,16,9,,,,,,,ENSP00000463898.1,,ENSMUSP00000120534.2,,,,1
g20404,8,1,1,0,2,0,27,9,8,,,,,,,,,,,,,1
g16082,0,20,27,2,2,9,12,6,13,,,,,,,,,,ENSDARP00000091827.4,,,7
g20185,1,3,0,1,2,6,26,17,22,,,XP_046457669.1,LOC124204621,uncharacterized protein LOC124204621,,,,,,,,1
g1394,3,0,0,0,1,1,25,18,1,,,,,,,,,,,,,1
g1180,5,0,0,0,0,7,25,9,16,CG13384,0,XP_046440915.1,LOC124191914,proton-coupled amino acid transporter 2-like isoform X1,,,,ENSMUSP00000057355.8,ENSDARP00000124194.1,,,14
g20462,1,3,1,2,2,2,24,21,13,,,,,,,,,,,,,4
g21932,1,6,5,6,8,5,23,21,19,,,,,,,,,,,,,14
g10520,19,12,17,20,12,11,23,20,16,CG7839,0,XP_046447310.1,LOC124196344,uncharacterized protein LOC124196344,,,,,,,,1
g3790,3,3,1,5,23,18,18,20,16,,,,,,F49E12.9a.1,,,,,,,4
g6829,0,2,1,2,0,1,22,20,23,,,,,,,,,,,,,14
g14631,0,6,8,10,15,9,22,10,10,GluProRS,Glutamyl-prolyl-tRNA synthetase,,,,,,,,,,,1
g7993,0,2,2,1,8,5,22,14,18,,,,,,,,,,,,,1
g7995,0,3,2,1,8,6,22,12,18,,,,,,,,,,,,,14
g4126,0,0,0,2,5,9,21,18,17,,,,,,,,,,,,,1
g4153,3,0,1,0,0,0,21,10,13,,,,,,,,,,,,,1
g13515,0,4,2,1,8,7,21,11,5,rdx,roadkill,,,,,,,,,,,4
g6080,0,3,3,1,2,1,20,15,11,,,,,,,,,,,XP_037876691.1,,1
g15048,0,3,4,6,7,4,17,20,20,,,,,,,,,,,,,14
g8195,0,4,2,0,0,19,17,20,10,Gcn5,Gcn5 acetyltransferase,,,,,,,,,,,4
g23471,0,2,2,2,1,2,19,14,9,,,,,,,,,,,XP_037876691.1,,4
g7576,2,11,5,3,5,8,17,18,15,,,,,,,ENSP00000391769.1,,,,,,1
g6806,0,5,6,4,4,2,17,17,13,,,,,,,,,,,,,14
g7365,0,1,1,1,3,0,17,2,2,,,,,,,,,ENSMUSP00000090725.5,,,,1
g10310,1,2,1,1,4,2,15,5,5,,,,,,,,,,,NP_001166684.1,,1
g14461,5,0,1,0,1,8,14,3,3,CG3556,0,XP_046450796.1,LOC124198798,cobalamin binding intrinsic factor-like,,ENSP00000257248.2,,ENSMUSP00000025585.4,ENSDARP00000053000.4,,,4
g2121,11,0,0,1,3,0,14,5,9,,,,,,,,,,,,,1
g4592,1,12,5,4,14,11,12,14,6,,,,,,,,,,,,,1
g23228,9,0,0,0,2,3,11,5,9,,,,,,R10H1.2.1,,,,,,,1
g21285,1,5,6,4,5,6,10,7,11,,,,,,,,,,,,,1
g9964,157,1873,1657,2993,4566,6049,122895,81705,47786,CG41099,0,XP_046444645.1,LOC124194477,neuroblast differentiation-associated protein AHNAK-like isoform X1,T19B10.5.1,ENSP00000367263.4,XP_003251819.1,ENSMUSP00000090633.3,ENSDARP00000082917.4,XP_012552942.2,XP_021711096.1,1
g226,20,2,4,0,47,248,74411,29409,1523,CG17829,0,,,,F55G11.4.1,,,,,,,1
g2506,1012,5370,4974,3221,2812,743,26380,15845,5792,ft,fat,XP_046437283.1,LOC124188594,cadherin-related tumor suppressor-like,F25F2.2.1,ENSP00000377862.4,XP_026296653.1,ENSMUSP00000061836.8,ENSDARP00000154430.1,XP_037870641.1,XP_021695392.1,1
g2404,223,1481,1635,1342,891,371,24082,14544,7101,ds,dachsous,XP_046461883.1,LOC124208183,protein dachsous-like,R10F2.1.1,ENSP00000299441.3,XP_026295922.1,ENSMUSP00000077574.6,ENSDARP00000109139.2,XP_021205801.2,XP_021703848.1,1
g13996,23,383,795,2612,10276,1239,21273,15399,4689,Lcp65Ac,Lcp65Ac,XP_046449546.1,LOC124197989,fibrous sheath CABYR-binding protein-like,,,,,,,,1
g6594,1905,5679,4968,3749,2954,3730,20909,14678,7654,Appl,beta amyloid protein precursor-like,XP_046442457.1,LOC124192920,amyloid-beta-like protein,C42D8.8b.1,ENSP00000435914.1,XP_026299199.1,ENSMUSP00000078694.8,ENSDARP00000110143.2,XP_012547626.1,XP_021709746.1,1
g11297,0,4,2,66,424,2067,18813,7336,739,,,XP_046446881.1,LOC124196109,endocuticle structural glycoprotein SgAbd-3-like isoform X4,,,,,,,,1
g26953,614,3006,2804,1626,1484,1706,18361,11394,6335,Cals,Calsyntenin-1,XP_046462167.1,LOC124208473,calsyntenin-1-like,B0034.3a.1,ENSP00000354997.4,XP_397413.3,ENSMUSP00000035027.7,ENSDARP00000059338.5,XP_037876745.1,XP_021699669.1,1
g10258,9,114,196,356,303,160,18030,8013,7396,,,XP_046447499.1,LOC124196453,TPR-containing protein DDB_G0280363-like isoform X1,K08F8.2.1,ENSP00000297689.2,XP_006566549.1,ENSMUSP00000065363.8,ENSDARP00000111381.1,XP_004923610.1,XP_001661622.1,1
g25113,968,3089,3320,2944,2241,1101,17141,11926,9210,Gug,Grunge,XP_046461089.1,LOC124207592,arginine-glutamic acid dipeptide repeats protein-like isoform X2,C04A2.3g.1,ENSP00000499322.1,XP_006563117.1,ENSMUSP00000101307.3,ENSDARP00000102789.2,XP_037868221.1,XP_001662857.2,1
g26119,2632,7801,7346,4654,2944,976,16882,9752,5068,N,Notch,XP_046462605.1,LOC124208776,neurogenic locus Notch protein-like,R107.8.1,ENSP00000498587.1,XP_006568051.2,ENSMUSP00000028288.5,ENSDARP00000105460.2,NP_001157370.1,XP_021693722.1,1
g5590,205,1420,1577,1573,1597,818,16712,11301,7606,kmr,kramer,XP_046438784.1,LOC124190238,uncharacterized protein LOC124190238 isoform X1,,ENSP00000515142.1,XP_006570574.2,ENSMUSP00000145336.2,ENSDARP00000098382.2,XP_037867844.1,XP_021693872.1,1
g26236,841,3285,3405,2960,2813,1442,15801,9974,6797,PlexB,Plexin B,XP_046463854.1,LOC124209743,plexin-B-like isoform X2,Y55F3AL.1a.1,ENSP00000352882.3,XP_006559220.1,ENSMUSP00000110748.3,ENSDARP00000021195.9,XP_037866559.1,XP_021699847.1,1
g8510,3083,11018,11637,9643,9583,6963,13049,9223,9588,sxc,super sex combs,XP_046444088.1,LOC124194097,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit-like isoform X1,K04G7.3a.1,ENSP00000362805.3,XP_003249419.1,ENSMUSP00000045409.5,ENSDARP00000141417.1,XP_004921733.1,XP_021697653.1,7
g26899,47,2220,2558,2974,3099,862,12438,10284,5564,stan,starry night,XP_046463903.1,LOC124209769,protocadherin-like wing polarity protein stan isoform X1,F15B9.7a.1,ENSP00000501367.2,XP_006559444.2,ENSMUSP00000016172.8,ENSDARP00000143939.1,XP_037874857.1,XP_021699915.1,1
g24158,1182,5491,5640,3236,8481,753,12148,8995,2826,rt,rotated abdomen,XP_046461968.1,LOC124208250,protein O-mannosyltransferase 1-like isoform X1,,ENSP00000385797.4,XP_016767733.1,ENSMUSP00000038722.10,ENSDARP00000157635.1,XP_004930941.1,XP_001651617.2,7
g26603,36,560,266,400,7675,1963,11829,7719,1689,CG32564,0,XP_046462214.1,LOC124208501,fibrous sheath CABYR-binding protein-like,,,,ENSMUSP00000114068.2,ENSDARP00000120051.1,,,4
g12470,36,550,649,1203,5072,788,11379,9250,1904,CG13318,0,XP_046448908.1,LOC124197464,phenoloxidase-activating factor 2-like,,,XP_006558302.1,,,XP_021206279.1,XP_021707811.1,1
g1712,1285,9613,6046,1684,577,3049,10096,10863,8769,LanA,Laminin A,XP_046463759.1,LOC124209694,laminin subunit alpha-like isoform X1,K08C7.3e.1,ENSP00000252999.3,XP_026299731.1,ENSMUSP00000015791.6,ENSDARP00000045125.6,XP_037870167.1,XP_001659481.2,1
g18645,612,2062,2216,1819,1376,1077,10853,7856,5035,Sema1a,Semaphorin 1a,XP_046455890.1,LOC124203231,semaphorin-1A-like isoform X1,,ENSP00000348276.3,XP_394163.3,ENSMUSP00000061123.9,ENSDARP00000118170.2,XP_012549754.1,XP_021700361.1,1
g894,31,370,452,445,623,383,10754,5899,3739,RapGAP1,Rap GTPase activating protein 1,XP_046446519.1,LOC124195903,rap1 GTPase-activating protein 1-like isoform X3,F53A10.2d.1,ENSP00000431364.1,XP_026298929.1,ENSMUSP00000095448.5,ENSDARP00000129011.1,XP_037875459.1,XP_021704054.1,4
g17288,34,535,1034,1745,869,1475,9967,5631,4301,,,XP_046452111.1,LOC124200068,monocarboxylate transporter 14-like isoform X1,K05B2.5a.2,,XP_026296551.1,,ENSDARP00000124256.1,XP_012551378.1,XP_021706003.1,14
g3743,737,2078,1856,1219,949,525,9911,7055,4675,Eph,Eph receptor tyrosine kinase,XP_046456829.1,LOC124203950,ephrin type-B receptor 1-B-like isoform X1,M03A1.1.1,ENSP00000363763.3,XP_006565661.1,ENSMUSP00000101472.3,ENSDARP00000112928.2,XP_037867331.1,XP_021694772.1,4
g24781,3,556,688,846,738,565,9903,5499,3056,klg,klingon,XP_046460160.1,LOC124206976,titin-like,C36F7.4g.1,ENSP00000363916.1,XP_392759.3,ENSMUSP00000110891.2,ENSDARP00000092401.3,XP_021204777.2,XP_001657664.2,1
g22357,8,187,276,373,911,290,9667,5694,2982,LpR1,Lipophorin receptor 1,XP_046459379.1,LOC124205874,flocculation protein FLO11-like isoform X2,F29D11.1.1,,,,,XP_021204782.1,,1
g23433,186,556,437,928,1703,617,9573,6540,2253,sl,small wing,XP_046459177.1,LOC124205732,1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase gamma-1-like,,,,,,,,1
g6789,823,4231,3401,2063,1303,1624,9561,9050,5923,LanB1,LanB1,XP_046442259.1,LOC124192813,laminin subunit beta-1-like isoform X1,W03F8.5a.1,ENSP00000222399.6,XP_006571829.1,ENSMUSP00000159366.2,ENSDARP00000123269.1,XP_004928073.3,XP_021708388.1,1
g2009,1165,4491,4332,3098,2593,747,9466,5265,2621,sdk,sidekick,XP_046437849.1,LOC124188954,protein sidekick-like isoform X2,Y42H9B.2.1,ENSP00000376421.3,XP_623565.1,ENSMUSP00000038972.8,ENSDARP00000079556.6,XP_012544709.2,XP_021701145.1,1
g11081,317,1092,1120,1015,698,417,9309,5564,3278,kirre,kin of irre,XP_046445845.1,LOC124195464,irregular chiasm C-roughest protein-like isoform X1,K02E10.8a.1,ENSP00000352138.6,XP_006568231.2,ENSMUSP00000043756.8,ENSDARP00000132507.1,XP_021202790.1,XP_021703710.1,1
g5458,11,253,329,553,576,609,8754,3798,1964,frac,faulty attraction,XP_046439331.1,LOC124190603,fibrillin-2-like isoform X3,,ENSP00000472324.1,,ENSMUSP00000099524.2,ENSDARP00000143091.1,,XP_021695535.1,1
g6793,2337,8622,7747,4117,4741,3744,6652,6824,4543,eIF5,eukaryotic translation initiation factor 5,,,,C37C3.2.1,ENSP00000453743.1,XP_392511.2,ENSMUSP00000061616.10,ENSDARP00000157421.1,NP_001037662.1,XP_021708578.1,7
g26923,48,30,57,1159,1817,752,8568,3651,1264,CG34355,0,XP_046462387.1,LOC124208600,protein Skeletor%2C isoforms B/C-like isoform X2,W01C8.5a.1,,XP_016768943.1,,,XP_037876533.1,XP_021710626.1,1
g10722,66,194,153,100,129,169,8136,5285,3349,,,,,,,,,,,,,1
g7099,127,1574,1880,1629,1116,660,8118,4498,2482,,,XP_046441568.1,LOC124192376,uncharacterized protein LOC124192376 isoform X1,,,XP_006568136.3,,,XP_037873246.1,XP_021711311.1,1
g19848,33,937,1156,1541,1692,1330,8001,5423,5188,,,,,,,,XP_026301736.1,,,,,14
g15321,16,366,665,1463,2820,1132,7685,3872,1449,qsm,quasimodo,XP_046452710.1,LOC124200491,uncharacterized protein LOC124200491,,,XP_001122795.2,,,XP_037871710.1,XP_021698915.1,4
g3746,460,2101,2204,1695,996,506,7587,5636,3788,ed,echinoid,XP_046456973.1,LOC124204031,hemicentin-2-like,F39H12.4.1,ENSP00000465305.1,XP_006567200.2,ENSMUSP00000074340.6,ENSDARP00000005919.7,XP_012546137.1,XP_021700512.1,1
g10809,374,1075,1003,1030,1102,800,7402,4522,3597,ckn,caskin,XP_046445951.1,LOC124195543,caskin-1-like isoform X5,C46H3.2b.1,,XP_026299348.1,,,XP_012551236.1,XP_001658568.1,1
g26966,102,391,321,277,177,86,7264,4262,2437,bi,bifid,XP_046462202.1,LOC124208496,T-box transcription factor TBX2-like isoform X1,F21H11.3.1,ENSP00000240328.3,XP_026297408.1,ENSMUSP00000078657.5,ENSDARP00000027905.8,XP_037872542.1,XP_021704164.1,1
